Date,Market,Symbol,Market Cap,PE,PEG,PBV,BVPS,Dividend Yield,12M Dividend Yield,Volume Turnover
21/10/2021,SET,7UP,"8,177,441,790",39.35,0.58,3.16,0.5,,,0.71
21/10/2021,SET,AH,"7,629,103,258",6.88,-0.03,0.93,23.23,0.63,2.82,0.96
21/10/2021,SET,AI,"5,564,992,217",9.18,1.5,2.14,3.71,7.55,11.07,0.1
21/10/2021,SET,AIT,"8,252,835,880",15.22,0.24,2.82,14.18,3.75,4.88,1.54
21/10/2021,SET,AJ,"8,536,000,000",14.44,0.32,1.78,10.87,3.47,4.12,0.35
21/10/2021,SET,ALT,"3,057,014,031",1514.1,-15.3,1.7,1.59,3.33,3.33,0.07
21/10/2021,SET,AMANAH,"5,075,409,357",16.24,0.86,3.22,1.52,2.64,2.64,0.15
21/10/2021,SET,ANAN,"5,332,800,000",22.93,-0.05,0.34,4.69,,,1.35
21/10/2021,SET,APCS,"3,563,999,255",15.26,0.03,1.89,2.86,1.11,1.11,0.05
21/10/2021,SET,APURE,"8,049,530,017",24.01,0.24,4.25,2.04,1.17,1.96,2.01
21/10/2021,SET,AS,"8,453,303,209",22.03,0.22,14.76,1.35,1.47,3.48,1.52
21/10/2021,SET,ASIAN,"13,025,400,944",14.14,0.14,3.51,4.56,2.29,3.85,0.58
21/10/2021,SET,ASK,"20,981,777,535",21.03,1.42,2.44,16.28,2.85,2.85,0.17
21/10/2021,SET,ASP,"8,001,492,967",9.77,0.08,1.57,2.41,4.74,8.42,3.39
21/10/2021,SET,BA,"24,780,000,000",,,1.2,9.85,,,0.04
21/10/2021,SET,BAFS,"18,328,014,399",,,3.57,8.05,,,0.18
21/10/2021,SET,BEAUTY,"5,021,470,453",,,6.27,0.27,,,7.03
21/10/2021,SET,BGC,"7,708,328,400",13.14,0.85,1.79,6.19,4.14,4.5,0.78
21/10/2021,SET,BWG,"3,276,805,608",,,0.86,0.84,,,0.48
21/10/2021,SET,BYD,"12,494,697,662",,,8.26,1.06,,,0.31
21/10/2021,SET,CCET,"13,291,467,257",62.48,0.73,0.77,3.49,1.01,1.07,0.03
21/10/2021,SET,CGD,"4,381,048,114",,,1.14,0.47,,,1.55
21/10/2021,SET,CGH,"4,325,988,470",18.04,0.17,0.8,1.36,,,0.15
21/10/2021,SET,CHAYO,"11,062,428,071",65.88,2.98,4.72,2.76,0.04,0.04,0.15
21/10/2021,SET,CTW,"3,581,156,556",14.17,0.29,0.82,10.95,5,5,0.02
21/10/2021,SET,DDD,"5,912,711,220",24.68,-0.02,1.26,14.78,4.61,2.69,0.15
21/10/2021,SET,DRT,"6,369,996,595",10.96,22.8,3,2.48,5.64,5.91,0.06
21/10/2021,SET,EASTW,"17,136,369,035",18.08,3.42,1.54,6.7,3.88,4.08,0.34
21/10/2021,SET,EKH,"4,770,000,000",29.72,0.36,5.4,1.48,1.37,2.88,0.48
21/10/2021,SET,EP,"6,154,546,840",5.88,0.08,1.85,3.58,3.79,3.79,0.45
21/10/2021,SET,ERW,"14,591,622,340",,,2.12,1.52,,,0.09
21/10/2021,SET,ETC,"5,958,400,000",26.94,0.27,2.24,1.19,,,0.58
21/10/2021,SET,GFPT,"14,920,469,900",14.26,-1.32,1.02,11.62,1.68,1.68,0.7
21/10/2021,SET,GGC,"13,307,667,100",15.86,,1.36,9.58,2.69,2.69,0.02
21/10/2021,SET,HFT,"5,728,378,410",10.62,0.15,1.73,5.03,3.62,3.62,0.08
21/10/2021,SET,HTC,"8,038,420,000",13.66,0.42,2.26,17.72,4.75,4.88,1.33
21/10/2021,SET,HUMAN,"7,548,000,000",43.48,4.8,5.76,1.93,1.26,1.26,0.09
21/10/2021,SET,III,"6,764,426,303",25.2,0.23,4.48,2.48,0.89,1.79,0.16
21/10/2021,SET,ILM,"8,787,000,000",16.43,0.75,1.69,10.27,2.41,2.41,0.45
21/10/2021,SET,ITD,"12,671,685,466",,,0.92,2.61,,,1.55
21/10/2021,SET,JKN,"5,497,859,217",18.76,5.27,2.06,4.38,2.29,2.29,0.38
21/10/2021,SET,JR,"5,472,000,000",29.96,,3.57,2.02,0.83,0.83,0.04
21/10/2021,SET,JTS,"45,036,652,875",605.27,2.43,89.34,0.71,,,0.22
21/10/2021,SET,JWD,"15,197,999,151",37.56,1.82,4.67,3.19,1.48,1.48,0.11
21/10/2021,SET,KAMART,"3,343,992,461",24.64,-1,3.39,1.12,3.68,4.21,0.06
21/10/2021,SET,KGI,"13,743,165,597",6.82,0.01,2.03,3.41,3.62,3.62,2.18
21/10/2021,SET,KSL,"17,023,497,909",30.22,-0.04,0.88,4.4,,,0.1
21/10/2021,SET,LALIN,"8,602,494,801",6.31,0.31,1.1,8.45,6.56,7.04,0.09
21/10/2021,SET,LANNA,"12,809,992,168",20.03,0.27,2.6,9.37,1.84,1.84,0.78
21/10/2021,SET,LOXLEY,"6,205,976,481",43.23,-0.33,1.16,2.36,,,0.12
21/10/2021,SET,LPH,"4,212,000,000",18.29,0.13,2.82,2.08,2.56,3.42,0.04
21/10/2021,SET,LPN,"7,599,848,655",12.7,-0.27,0.65,7.9,27.18,9.71,2.56
21/10/2021,SET,MACO,"3,680,147,362",,,1.17,0.58,,,0.58
21/10/2021,SET,MC,"7,440,000,000",16.53,1.74,2.05,4.53,5.91,5.91,0.28
21/10/2021,SET,MCOT,"5,015,824,233",,,1.03,7.09,,,0.02
21/10/2021,SET,MCS,"6,964,200,000",6.03,0.18,1.71,8.52,6.85,6.85,0.76
21/10/2021,SET,MICRO,"7,526,750,000",43.27,0.92,4.02,2,0.68,0.68,0.51
